adm3_pcode,ward,population_density,sex_ratio,average_household_size,total_dependency_ratio,population_pc_rural,disability_prevlance_rate,agricultural_employment_pc_total,wealth_quintile_poorest_quintile_pc,house_quality_inadequate_least_adequate_pc,unimproved_sanitation_pc,unimproved_drinking_water_pc,population_total,impacted_buildings,cluster
NP0330410,2,201.379618766156,91.54388212684177,3.823529411764706,51.78,100,2.21,79.4,14.83,1.15,2.557544757033248,11.253196930946292,2787,3,D
NP0330410,4,200.168092190971,101.58636897767332,4.163834951456311,50.95,100,3,62.05,16.5,8.01,4.0048543689320395,19.296116504854368,3222,8,D
NP0330410,6,376.140179058094,102.35210263720596,3.915862068965517,42.88,0,1.2,36.28,6.9,2.34,2.344827586206897,7.862068965517241,2691,14,B
NP0330410,8,134.880311052165,95.69019362898187,3.8726823238566137,47.64,100,3.13,77.4,14.59,13.23,3.8318912237330034,51.9159456118665,2964,28,D
NP0328301,1,615.561873569779,92.59012016021362,4.3059701492537314,50.1,0,1.53,19.67,5.22,9.26,4.477611940298507,13.432835820895523,2951,502,B
NP0328301,2,615.824849741581,96.52042360060514,3.8065934065934064,47.53,0,1.58,31.13,2.27,2.05,1.2454212454212454,40.21978021978022,5303,9,B
NP0328301,3,383.486795749198,88.8235294117647,3.785377358490566,52.71,0,2.39,65.24,4.01,1.02,1.3364779874213837,25.78616352201258,4860,229,B
NP0328301,4,3579.30620133428,99.79639325189063,3.965935334872979,42.93,0,1.09,16.32,0.69,0.69,1.0392609699769053,14.087759815242496,7076,298,B
NP0328301,5,820.551468103111,94.5825366475462,4.249130132219903,44.52,0,1.18,51.3,1.81,0.35,0.6263048016701461,4.244954766875435,6280,382,B
NP0328301,6,654.647361171139,92.48157248157248,4.1405919661733614,48.15,0,2.22,53.58,2.11,0.95,1.2684989429175475,11.522198731501057,3996,236,B
NP0328301,7,299.082195689622,93.88541165142033,3.8098391674550616,48.21,100,2.38,66.37,6.81,0.95,0.6622516556291391,5.392620624408704,4032,400,A
NP0328301,8,481.470651916574,90.82706766917292,3.924742268041237,48.31,0,1.94,52.96,4.54,0.9199999999999999,1.134020618556701,5.979381443298969,3873,132,B
NP0328301,9,1190.71643820248,87.52237279468167,3.853914871255912,49.58,0,2.15,37.83,0.79,0.37,0.6831318970047293,4.308985811875985,7591,261,B
NP0328301,10,249.750562362134,91.53020892151326,3.903337169159954,48.51,100,1.62,36.21,3.8,0.35,1.726121979286536,8.63060989643268,3433,505,A
