Activity and Indicators - NEPAL,,,,,,,
WASH,,Construction of recharge-ponds,,Number of recharge-ponds constructed,,,
WASH,,Water quality test,,,,,
WASH,,Distribution of Water purifier,,Number of water purifiers distributed,,,
WASH,,Distribution of critical WASH supplies (including hygiene kits) to affected households,,,,,
WASH,,Printing and distribution of Behaviour Change Communication (BCC) materials,,,,,
,,,,,,,
Early Recovery,,Cash for work including community led debris removal,,,,,
,,,,,,,
Logistics,,Logistics Coordination and Information Management,,,,,
Logistics,,Support to Common Warehousing,,,,,
Logistics,,"Common Transport from Kathmandu HSA (Humanitarian Staging Area) to Provincial HQs, and from provincial capitals and HSA’s to district HQ’s",,,,,
Logistics,,International Cargo Transport into Nepal,,,,,
Logistics,,International Passenger transport,,,,,
Logistics,,Procurement and Supply Chain coordination,,,,,
