activity,adm3_pcode,ward,individuals_sum,individuals_max,population,affected,sum_pc_population,max_pc_population
Distribution of in-kind Food Relief Packages,NP0330409,6,181,181,4625,1,0.039135135135135134,0.039135135135135134
Distribution of in-kind Food Relief Packages,NP0330410,8,437,437,2964,1,0.14743589743589744,0.14743589743589744
Distribution of learning packs,NP0328301,1,2097,1315,2951,1,0.7106065740426973,0.44561165706540157
Distribution of learning packs,NP0328301,2,706,288,5303,1,0.13313218932679616,0.05430888176503866
Distribution of learning packs,NP0328301,3,296,148,4860,1,0.060905349794238686,0.030452674897119343
Distribution of learning packs,NP0328301,5,545,331,6280,1,0.08678343949044585,0.052707006369426754
Distribution of learning packs,NP0328301,7,289,280,4032,1,0.0716765873015873,0.06944444444444445
Distribution of learning packs,NP0328301,10,150,80,3433,1,0.043693562481794346,0.023303233323623652
Distribution of learning packs,NP0328302,7,220,220,4530,1,0.04856512141280353,0.04856512141280353
Distribution of learning packs,NP0328403,2,0,0,2020,1,0,0
Distribution of learning packs,NP0329402,2,0,0,558,1,0,0
Distribution of learning packs,NP0329402,5,0,0,2518,1,0,0
Distribution of learning packs,NP0329403,5,158,98,2836,1,0.05571227080394922,0.03455571227080395
Distribution of learning packs,NP0330407,4,57,57,2401,0,0.023740108288213244,0.023740108288213244
Distribution of learning packs,NP0330408,5,77,40,3049,1,0.025254181698917678,0.013119055428009183
Distribution of learning packs,NP0330408,7,242,115,2886,1,0.08385308385308385,0.039847539847539845
Distribution of learning packs,NP0330408,9,25,15,3438,1,0.007271669575334497,0.004363001745200698
Distribution of learning packs,NP0330409,5,471,471,3788,1,0.12434002111932418,0.12434002111932418
Distribution of learning packs,NP0330410,4,121,77,3222,1,0.03755431409062694,0.023898199875853506
Distribution of learning packs,NP0330410,6,489,296,2691,1,0.18171683389074694,0.10999628390932739
Distribution of textbooks,NP0328301,9,0,0,7591,1,0,0
Distribution of textbooks,NP0330409,6,0,0,4625,1,0,0
Distribution of water purifier,NP0328301,9,900,900,7591,1,0.11856145435384008,0.11856145435384008
Emergency Shelter and repair Support,NP0328301,1,581,581,2951,1,0.19688241274144358,0.19688241274144358
Emergency Shelter and repair Support,NP0328301,3,485,485,4860,1,0.09979423868312758,0.09979423868312758
Emergency Shelter and repair Support,NP0328301,4,87,87,7076,1,0.012295081967213115,0.012295081967213115
Emergency Shelter and repair Support,NP0328301,5,2010,2010,6280,1,0.3200636942675159,0.3200636942675159
Emergency Shelter and repair Support,NP0328301,8,0,0,3873,1,0,0
Emergency Shelter and repair Support,NP0328403,2,0,0,2020,1,0,0
Emergency Shelter and repair Support,NP0328403,3,0,0,2553,NA,0,0
Emergency Shelter and repair Support,NP0329404,2,415,415,2899,NA,0.1431528113142463,0.1431528113142463
Emergency Shelter and repair Support,NP0330408,7,44,44,2886,1,0.015246015246015246,0.015246015246015246
Emergency transitional shelter,NP0328301,10,612,612,3433,1,0.17826973492572096,0.17826973492572096
Emergency transitional shelter,NP0330409,5,184,184,3788,1,0.048574445617740235,0.048574445617740235
Gender Based Violence (GBV) : Anti trafficing monitoring and awareness at transit check point,NP0328302,5,107,98,3160,1,0.033860759493670886,0.0310126582278481
Gender Based Violence (GBV) : Anti trafficing monitoring and awareness at transit check point,NP0328302,10,64,64,2821,NA,0.022686990428925913,0.022686990428925913
Gender Based Violence (GBV) : Anti trafficing monitoring and awareness at transit check point,NP0328401,5,269,110,2172,NA,0.12384898710865562,0.05064456721915286
Gender Based Violence (GBV) : Anti trafficing monitoring and awareness at transit check point,NP0328410,6,1011,391,2695,NA,0.375139146567718,0.1450834879406308
Gender Based Violence (GBV) : Distribution of essential life saving supplies to women and girls (including dignity kits),NP0328301,1,100,100,2951,1,0.03388681802778719,0.03388681802778719
Gender Based Violence (GBV) : Distribution of essential life saving supplies to women and girls (including dignity kits),NP0328301,2,81,81,5303,1,0.015274372996417122,0.015274372996417122
Gender Based Violence (GBV) : Distribution of essential life saving supplies to women and girls (including dignity kits),NP0328301,3,0,0,4860,1,0,0
Gender Based Violence (GBV) : Distribution of essential life saving supplies to women and girls (including dignity kits),NP0328301,4,48,48,7076,1,0.006783493499152063,0.006783493499152063
Gender Based Violence (GBV) : Distribution of essential life saving supplies to women and girls (including dignity kits),NP0328301,5,109,59,6280,1,0.01735668789808917,0.009394904458598726
Gender Based Violence (GBV) : Distribution of essential life saving supplies to women and girls (including dignity kits),NP0328301,7,953,953,4032,1,0.23635912698412698,0.23635912698412698
Gender Based Violence (GBV) : Distribution of essential life saving supplies to women and girls (including dignity kits),NP0328301,9,2000,2000,7591,1,0.26346989856408903,0.26346989856408903
Gender Based Violence (GBV) : Distribution of essential life saving supplies to women and girls (including dignity kits),NP0328301,10,20,20,3433,1,0.005825808330905913,0.005825808330905913
Gender Based Violence (GBV) : Distribution of essential life saving supplies to women and girls (including dignity kits),NP0328302,8,313,313,2817,1,0.1111111111111111,0.1111111111111111
Gender Based Violence (GBV) : Distribution of essential life saving supplies to women and girls (including dignity kits),NP0328402,5,220,220,3095,1,0.07108239095315025,0.07108239095315025
Gender Based Violence (GBV) : Distribution of essential life saving supplies to women and girls (including dignity kits),NP0328403,4,8,8,2157,1,0.0037088548910523874,0.0037088548910523874
Gender Based Violence (GBV) : Distribution of essential life saving supplies to women and girls (including dignity kits),NP0329403,5,0,0,2836,1,0,0
Gender Based Violence (GBV) : Distribution of essential life saving supplies to women and girls (including dignity kits),NP0330409,2,145,60,4076,1,0.03557409224730128,0.014720314033366046
Gender Based Violence (GBV) : Distribution of essential life saving supplies to women and girls (including dignity kits),NP0330409,5,0,0,3788,1,0,0
Gender Based Violence (GBV) : Establishment of women friendly spaces,NP0328301,2,0,0,5303,1,0,0
Gender Based Violence (GBV) : Establishment of women friendly spaces,NP0328301,3,0,0,4860,1,0,0
Gender Based Violence (GBV) : Establishment of women friendly spaces,NP0328301,5,152,108,6280,1,0.024203821656050957,0.017197452229299363
Gender Based Violence (GBV) : Establishment of women friendly spaces,NP0328301,6,0,0,3996,1,0,0
Gender Based Violence (GBV) : Establishment of women friendly spaces,NP0328302,7,120,120,4530,1,0.026490066225165563,0.026490066225165563
Gender Based Violence (GBV) : Establishment of women friendly spaces,NP0328302,8,27,27,2817,1,0.009584664536741214,0.009584664536741214
Gender Based Violence (GBV) : Establishment of women friendly spaces,NP0329403,5,23,23,2836,1,0.008110014104372355,0.008110014104372355
Gender Based Violence (GBV) : Establishment of women friendly spaces,NP0330410,6,138,108,2691,1,0.05128205128205128,0.04013377926421405
Gender Based Violence (GBV) : Provision of GBV response services including referral to other services,NP0328301,6,1,1,3996,1,2.5025025025025025e-4,2.5025025025025025e-4
Gender Based Violence (GBV) : Provision of GBV response services including referral to other services,NP0328301,7,39,39,4032,1,0.009672619047619048,0.009672619047619048
Gender Based Violence (GBV) : Provision of GBV response services including referral to other services,NP0328301,8,3,2,3873,1,7.74593338497289e-4,5.163955589981926e-4
Gender Based Violence (GBV) : Provision of GBV response services including referral to other services,NP0328301,13,0,0,5083,NA,0,0
Gender Based Violence (GBV) : Provision of GBV response services including referral to other services,NP0328302,5,0,0,3160,1,0,0
Gender Based Violence (GBV) : Provision of GBV response services including referral to other services,NP0328302,10,0,0,2821,NA,0,0
Gender Based Violence (GBV) : Provision of GBV response services including referral to other services,NP0328410,6,0,0,2695,NA,0,0
Gender Based Violence (GBV) : Sensitization/orientation on GBV prevention and response interventions,NP0328302,5,0,0,3160,1,0,0
Gender Based Violence (GBV) : Sensitization/orientation on GBV prevention and response interventions,NP0328302,7,0,0,4530,1,0,0
